"Building","Room Number","Room Tags"
"Sustainable Energy Engineering","2004","Washroom, women's"
"Sustainable Energy Engineering","3010","Washroom, single-stall"
"Sustainable Energy Engineering","3012","Washroom, men's"
"Sustainable Energy Engineering","3005","Washroom, women's"
"Sustainable Energy Engineering","4010","Washroom, single-stall"
"Sustainable Energy Engineering","4012","Washroom, men's"
"Sustainable Energy Engineering","4005","Washroom, women's"
"Sustainable Energy Engineering","5010","Washroom, single-stall"
"Sustainable Energy Engineering","5012","Washroom, men's"
"Sustainable Energy Engineering","5005","Washroom, women's"
"Technology and Science Complex 2","6101","Washroom, women's"
"Technology and Science Complex 2","6102","Washroom, men's"
"Technology and Science Complex 2","6403","Washroom, single-stall"
"Technology and Science Complex 2","6470.1","Washroom, single-stall"
"Technology and Science Complex 2","6746.1","Washroom, single-stall"
"Technology and Science Complex 2","7502","Washroom, women's, accessible"
"Technology and Science Complex 2","7601","Washroom, men's, accessible"
"Technology and Science Complex 2","7101","Washroom, women's, accessible"
"Technology and Science Complex 2","7102","Washroom, men's, accessible"
